SL,Branch_name,Import_No_of_LC,Import,Export_No_of_LC,Export
,,,,,
1,Local Office,0,46000,0,33500
2,Corporate,0,49000,0,1900
3,Aulad Hossain Market ,0,543,0,0
4,Badda ,0,189,0,0
5,Banasree ,0,13,0,0
6,Banga Bandhu Avenue ,0,58370,0,84426
7,Circle-1 ,0,1521,0,0
8,Dilkusha ,0,81308,0,109917
9,Eastern Plaza ,0,2178,0,0
10,Eskaton ,0,2248,0,356
11,Fakirapool ,0,1426,0,0
12,Foreign Exchange ,0,65436,0,94350
13,Fulbaria ,0,3445,0,0
14,Green Road ,0,200,0,0
15,Gulshan ,0,26247,0,46058
16,Hotel Intercontinental ,0,584,0,0
17,Hotel Ishakha International ,0,1262,0,0
18,Kawran Bazar ,0,15879,0,8827
19,Ladies ,0,0,0,0
20,Malibagh Chowdhury Para ,0,631,0,0
21,Moghbazar ,0,109,0,0
22,Mohakhali ,0,535,0,0
23,Mugdapara ,0,341,0,0
24,Nawabpur ,0,35736,0,0
25,North Shahjahanpur ,0,317,0,0
26,Panthapath ,0,1263,0,0
27,Ramna ,0,14979,0,29131
28,Shantinagar ,0,61240,0,90435
29,AERE EPZ ,0,6130,0,12974
30,Amin Bazar ,0,100,0,0
31,Ashulia ,0,0,0,0
32,Banijya Shakha,0,7919,0,19705
33,BKSP ,0,0,0,0
34,Darus Salam Road ,0,10996,0,5914
35,Gazipura ,0,0,0,0
36,Gheor ,0,0,0,0
37,Joar Shahara ,0,188,0,0
38,Joydebpur ,0,0,0,0
39,Kalabagan ,0,6889,0,6592
40,Konabari ,0,0,0,0
41,Manikganj ,0,0,0,0
42,Mirpur ,0,49,0,0
43,Mohammadpur ,0,581,0,0
44,Nabagram ,0,0,0,0
45,Pallabi ,0,5259,0,15037
46,Rokeya Sarani ,0,2037,0,0
47,Satmasjid Road ,0,24097,0,33762
48,Savar ,0,0,0,0
49,Shibalaya ,0,0,0,0
50,Shyamoli ,0,1017,0,0
51,Tongi ,0,408,0,0
52,Uttara ,0,16330,0,77516
53,Azimpur ,0,6119,0,0
54,Babu Bazar ,0,2059,0,0
55,Bangla Bazar ,0,478,0,0
56,Chawk Bazar (DHK) ,0,7922,0,143
57,Dholaikhal ,0,1421,0,0
58,Donia ,0,0,0,0
59,Elephant Road ,0,1093,0,0
60,English Road ,0,5473,0,4623
61,Hatkhola ,0,1246,0,0
62,Imamgonj ,0,307,0,0
63,Islampur ,0,9569,0,0
64,Jatrabari ,0,49,0,0
65,Johnson Road ,0,703,0,0
66,Kaligonj ,0,0,0,0
67,Mitford Road ,0,665,0,0
68,Moulvibazar  (DHK),0,4623,0,34
69,Nawabgonj ,0,0,0,0
70,Naya Bazar ,0,2645,0,0
71,New Market  (DHK),0,255,0,0
72,Peelkhana ,0,0,0,0
73,Posta ,0,1123,0,0
74,Sadarghat  (DHK),0,3084,0,0
75,Tipu Sultan Road ,0,1466,0,0
76,Atia ,0,0,0,0
77,Bhagalpur ,0,0,0,0
78,Bhairab Bazar,0,10,0,0
79,Bhaluka,0,0,0,0
80,Charpara ,0,0,0,0
81,Haluaghat ,0,490,0,183
82,Jamalpur ,0,0,0,0
